OBJECTID,GlobalID,headCount,GUID,Name,Count,CreationDate,Creator,EditDate,Editor
155,f792b0d7-4ac5-4d2a-8484-bf70ce9b1c45,,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,24,4/10/2023 5:16:51 PM,anewsam_ucmerced,4/10/2023 5:16:51 PM,anewsam_ucmerced
156,b5b5d6d4-396a-422e-bc9d-ed261215a2a0,,f3612386-ae51-4f87-8d15-42d2cb28b96b,,2,4/10/2023 5:17:21 PM,anewsam_ucmerced,4/10/2023 5:17:21 PM,anewsam_ucmerced
157,976a1481-3581-40f6-a4d1-59e7158cf3c5,,d393b22e-e47a-4934-b16b-0dbde07a06d0,,1,4/10/2023 5:17:42 PM,anewsam_ucmerced,4/10/2023 5:17:42 PM,anewsam_ucmerced
158,f5e567cc-bfa9-4fee-81d6-9f48174399c7,,657f9095-253f-4b5b-9267-7c8cacb5236c,,2,4/10/2023 5:17:56 PM,anewsam_ucmerced,4/10/2023 5:17:56 PM,anewsam_ucmerced
159,7ce09268-c213-48ed-8ca4-bb62e2db6357,,9a586f47-7a82-450c-8cfd-dca7c20c097b,,24,4/10/2023 5:18:29 PM,anewsam_ucmerced,4/10/2023 5:18:29 PM,anewsam_ucmerced
160,85da8c99-b49f-4fab-9c47-c16d9902b148,,dec1dc36-21b2-426d-94b2-94eec4adacbe,,2,4/10/2023 5:18:48 PM,anewsam_ucmerced,4/10/2023 5:18:48 PM,anewsam_ucmerced
161,2a3399ce-f3a6-4aa9-beff-1cfba454a126,,4c791df0-e83a-412c-9df0-424c83b01383,,1,4/10/2023 5:19:06 PM,anewsam_ucmerced,4/10/2023 5:19:06 PM,anewsam_ucmerced
162,213b90e3-6aa3-44ef-8beb-03a0e2931efa,,a3ce3979-d769-49ab-bc26-124b581db39d,,2,4/10/2023 5:19:18 PM,anewsam_ucmerced,4/10/2023 5:19:18 PM,anewsam_ucmerced
163,092d2c4f-80b3-40ba-8954-e4623e3cc863,,382cbc54-e96a-4006-99dc-244065811d10,,1,4/10/2023 5:19:38 PM,anewsam_ucmerced,4/10/2023 5:19:38 PM,anewsam_ucmerced
164,d2cb1b26-6fcb-4397-8fa7-1381911a9369,,3d4ade81-3b4f-4f4c-9a1c-35b6b40fb926,,0,4/10/2023 5:20:08 PM,anewsam_ucmerced,4/10/2023 5:20:08 PM,anewsam_ucmerced
165,2fe7ded6-a124-4450-b168-e9c573970d3f,,bad3bb01-8fe8-4000-bd00-9358fa12248d,,0,4/10/2023 5:20:22 PM,anewsam_ucmerced,4/10/2023 5:20:22 PM,anewsam_ucmerced
166,978ebbee-63a7-460b-a682-a1d29073cd71,,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,43,4/10/2023 5:22:28 PM,anewsam_ucmerced,4/10/2023 5:22:28 PM,anewsam_ucmerced
167,07ab1b50-da14-474a-b015-8b88708672a8,,f3612386-ae51-4f87-8d15-42d2cb28b96b,,3,4/10/2023 5:22:43 PM,anewsam_ucmerced,4/10/2023 5:22:43 PM,anewsam_ucmerced
168,7d97d2c5-7c31-470f-81e3-c587797b61fc,,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,1,4/10/2023 5:23:04 PM,anewsam_ucmerced,4/10/2023 5:23:04 PM,anewsam_ucmerced
169,af636575-1db8-4b30-b8ea-79cf8cb3881a,,abb0c4b6-2ba6-4bd5-b14e-e38ac2231d38,,4,4/10/2023 5:23:21 PM,anewsam_ucmerced,4/10/2023 5:23:21 PM,anewsam_ucmerced
170,850ce798-f84e-472d-a9a1-fba76b2acf4d,,cdb00697-f3d4-4e51-a65f-57ce43e9cd2f,,2,4/10/2023 5:23:32 PM,anewsam_ucmerced,4/10/2023 5:23:32 PM,anewsam_ucmerced
171,6af77581-77f1-4ab2-a938-30871b6523e4,,c7fd9a01-d259-4a43-affe-0aee40d33433,,0,4/10/2023 5:23:52 PM,anewsam_ucmerced,4/10/2023 5:23:52 PM,anewsam_ucmerced
172,22d32a32-d3d6-4984-9a72-22b29586bc0d,,9a586f47-7a82-450c-8cfd-dca7c20c097b,,24,4/12/2023 4:59:27 PM,anewsam_ucmerced,4/12/2023 4:59:27 PM,anewsam_ucmerced
173,6f598ad3-8539-4f22-83eb-9e71ed41fef8,,bad3bb01-8fe8-4000-bd00-9358fa12248d,,11,4/12/2023 4:59:52 PM,anewsam_ucmerced,4/12/2023 4:59:52 PM,anewsam_ucmerced
174,a2590073-6839-4fe9-9017-d8451d156e55,,3d4ade81-3b4f-4f4c-9a1c-35b6b40fb926,,0,4/12/2023 5:00:10 PM,anewsam_ucmerced,4/12/2023 5:00:10 PM,anewsam_ucmerced
175,56fff972-fda8-4a0c-8af0-0da338af7818,,382cbc54-e96a-4006-99dc-244065811d10,,1,4/12/2023 5:00:28 PM,anewsam_ucmerced,4/12/2023 5:00:28 PM,anewsam_ucmerced
176,0b156720-9929-464f-8fab-66098ad8fccb,,a3ce3979-d769-49ab-bc26-124b581db39d,,1,4/12/2023 5:00:45 PM,anewsam_ucmerced,4/12/2023 5:00:45 PM,anewsam_ucmerced
177,f53667e9-e46c-448c-96e6-be46dfbb6b48,,4c791df0-e83a-412c-9df0-424c83b01383,,2,4/12/2023 5:01:06 PM,anewsam_ucmerced,4/12/2023 5:01:06 PM,anewsam_ucmerced
178,499ed861-a55d-477b-baf9-097482e9a3fd,,dec1dc36-21b2-426d-94b2-94eec4adacbe,,2,4/12/2023 5:01:19 PM,anewsam_ucmerced,4/12/2023 5:01:19 PM,anewsam_ucmerced
179,acee0e7b-f116-4d1e-b216-eae85b2aaf8e,,1267c7ee-8ae9-4325-b1c9-0a5827c9cbe9,,33,4/12/2023 5:03:43 PM,anewsam_ucmerced,4/12/2023 5:03:43 PM,anewsam_ucmerced
180,f48ce3b8-77c4-4769-a9d7-c50aeec79107,,f3612386-ae51-4f87-8d15-42d2cb28b96b,,2,4/12/2023 5:03:56 PM,anewsam_ucmerced,4/12/2023 5:03:56 PM,anewsam_ucmerced
181,eabbc077-4829-4987-809e-5a83397309c0,,d393b22e-e47a-4934-b16b-0dbde07a06d0,,1,4/12/2023 5:04:07 PM,anewsam_ucmerced,4/12/2023 5:04:07 PM,anewsam_ucmerced
182,01cfb1a7-8e8a-43b3-a177-94e9526dc04b,,657f9095-253f-4b5b-9267-7c8cacb5236c,,1,4/12/2023 5:04:19 PM,anewsam_ucmerced,4/12/2023 5:04:19 PM,anewsam_ucmerced
183,d388fca0-7dd7-46c8-ab90-f9cca7cfab21,,8b3afbf7-aded-4cc9-a5d3-b13b45e58f09,,1,4/12/2023 5:04:31 PM,anewsam_ucmerced,4/12/2023 5:04:31 PM,anewsam_ucmerced
