ObjectID,Unit ID,Use Type,Name,Long Name,Level ID,Schedule Email,Capacity,Area ID,Assignment Type,Gross Area,Relative Height,Reservation Method,Created User,Created Date,Last Edited User,Last Edited Date,GlobalID,Validation status,Lable,Shape__Area,Shape__Length
291,UCM.KL.L3.T3-4,"T3-4
RESTROOM",T3-4,"T3-4, L3",UCM.KL.L3,,,,none,325.822250011643,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,70e193f2-5717-4454-b0df-cdfca0479d72,2,,48.01171875,38.9167069932899
292,UCM.KL.L3.355,STACK,355,"355, L3",UCM.KL.L3,,,,none,5954.18073620015,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,abb6b141-d674-4caa-9fe5-ac5cf426007e,2,1,877.32421875,150.441503145741
293,UCM.KL.L3.310A,"310A
OTHER
OFF","310A
CETL/AET","310A
CETL/AET, L3",UCM.KL.L3,,,,none,172.293804785818,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,1042111a-193c-48ac-95f0-c5a985bbfb2c,2,,25.37890625,20.8678456341222
294,UCM.KL.L3.307,"307
OTHER
OFF","307
UGEDU","307
UGEDU, L3",UCM.KL.L3,,,,none,133.966428341321,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,7f7408ac-4504-4de8-ae47-c773ce458746,2,,19.73828125,17.9448702377332
295,UCM.KL.L3.310C-1,"310C-1
OTHER
OFF","310C-1
CETL/AET","310C-1
CETL/AET, L3",UCM.KL.L3,,,,none,122.322543120435,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,36d7b3cf-a6ec-4768-97da-00fe1927a1e4,2,,18.0234375,17.0146177465451
296,UCM.KL.L3.310C,"310C
OTHER
OFF","310C
CETL/AET","310C
CETL/AET, L3",UCM.KL.L3,,,,none,173.989450072433,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,8e45762f-73a1-411a-9efb-7f47738501d1,2,,25.640625,20.6035646886276
297,UCM.KL.L3.318,"318
CONFERENCE","318
CONFERENCE
ROOM","318
CONFERENCE
ROOM, L3",UCM.KL.L3,,,,none,214.417507802505,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,3f33ec81-92ae-46ea-a139-076b8d1578ff,2,,31.59375,22.6636173432648
298,UCM.KL.L3.324,"324
CONFERENCE","324
CONFERENCE
ROOM","324
CONFERENCE
ROOM, L3",UCM.KL.L3,,,,none,271.643068967261,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,beac94cb-ca38-4b9b-9252-4d4de9e21a37,2,,40.02734375,27.2510628162262
299,UCM.KL.L3.326,"326
CONFERENCE","326
CONFERENCE
ROOM","326
CONFERENCE
ROOM, L3",UCM.KL.L3,,,,none,215.881149554823,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,a385073f-e15f-46a1-b337-c535389bdc6b,2,,31.80859375,22.7314605016988
300,UCM.KL.L3.344,"344
RESEARCH","344
OIT","344
OIT, L3",UCM.KL.L3,,,,none,310.760782589703,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,73fa4dcc-bb2e-4a44-b934-ca6c7bb496e9,2,,45.78515625,27.0836244350012
301,UCM.KL.L3.340,"340
OFFICE
SRV","340
KITCHEN","340
KITCHEN, L3",UCM.KL.L3,,,,none,131.573683847206,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,938a39d4-b707-4fad-847f-a953d8b5a047,2,,19.39453125,19.2409001688496
302,UCM.KL.L3.338,"338
OFFICE
SRV","338
LIBRARY/CETL/AET
TECH
SUPPORT","338
LIBRARY/CETL/AET
TECH
SUPPORT, L3",UCM.KL.L3,,,,none,145.925501146059,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,d5467b2a-d091-441f-8c0c-147ce598db9a,2,,21.49609375,19.6451378415778
303,UCM.KL.L3.348,"348
OTHER
OFF","348
BLACK
STUDENT
RESOURCE
CENTER","348
BLACK
STUDENT
RESOURCE
CENTER, L3",UCM.KL.L3,,,,none,295.076962690751,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,c0933632-309d-443d-bf40-e0ea0835ccd7,2,,43.47265625,27.2525374968381
304,UCM.KL.L3.350,"350
RESEARCH","350
ONE
BUTTON
STUDIOS","350
ONE
BUTTON
STUDIOS, L3",UCM.KL.L3,,,,none,194.454242080825,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,d27ba506-40b6-4075-a1b1-22964fa4f382,2,,28.65234375,21.6668621670712
305,UCM.KL.L3.T3-2,"T3-2
RESTROOM",T3-2,"T3-2, L3",UCM.KL.L3,,,,none,314.550006607968,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,e4cd5fab-f344-404e-915b-652d94c52cb3,2,,46.3359375,40.7740043196188
306,UCM.KL.L3.T3-1,"T3-1
RESTROOM",T3-1,"T3-1, L3",UCM.KL.L3,,,,none,208.531947860373,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,c4ae8ba9-4041-40fa-bad0-10f1eb10ad0e,2,,30.734375,30.7216343740551
307,UCM.KL.L3.M3-2,"M3-2
MECHANICAL",M3-2,"M3-2, L3",UCM.KL.L3,,,,none,109.082993729184,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,0813c32a-4e1e-41e6-a2b1-250c1c9b3eda,2,,16.078125,16.7653852029155
308,UCM.KL.L3.U3-1,"U3-1
CUSTODIAL",U3-1,"U3-1, L3",UCM.KL.L3,,,,none,106.247142261298,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,c850abf7-1469-459f-afdb-73cb8701e9c7,2,,15.6484375,16.0676841121299
309,UCM.KL.L3.311F,"311F
OTHER
OFF",311F,"311F, L3",UCM.KL.L3,,,,none,131.135411484248,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,1a9e5e82-59de-4e7d-b169-73bc9eb7498b,2,,19.3203125,17.9450045189335
310,UCM.KL.L3.311G,"311G
OTHER
OFF","311G
LIBRARY
STAFF","311G
LIBRARY
STAFF, L3",UCM.KL.L3,,,,none,221.331144249769,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,0c21a02c-b77b-41b4-adf4-6df96f8589b4,2,,32.61328125,23.3285820048861
311,UCM.KL.L3.305A,"305A
OTHER
OFF","305A
ACADEMIC
SENATE","305A
ACADEMIC
SENATE, L3",UCM.KL.L3,,,,none,154.965043973899,4.25,,fherrera11_ucmerced,4/13/2023 5:37:36 PM,fherrera11_ucmerced,4/13/2023 5:37:36 PM,f6aef0b6-0b75-4e9d-9071-521ff3446cae,2,,22.8359375,19.5515806203262
